metric,paper_model,mean,std,n,aggregation_scope,run_ids
inference_candidate_prediction_entropy,EOPKG,0.136,0.003,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_score_gap,GATv2,,,0,,
inference_candidate_score_gap,GATv2+Mask,,,0,,
inference_candidate_score_gap,LSTM,,,0,,
inference_candidate_score_gap,EOPKG-WI,0.066,0.003,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_score_gap,EOPKG,0.059,0.004,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_seen_score_mean,GATv2,,,0,,
inference_candidate_seen_score_mean,GATv2+Mask,,,0,,
inference_candidate_seen_score_mean,LSTM,,,0,,
inference_candidate_seen_score_mean,EOPKG-WI,-0.458,0.059,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_seen_score_mean,EOPKG,-6.954,0.404,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_seen_unseen_score_gap,GATv2,,,0,,
inference_candidate_seen_unseen_score_gap,GATv2+Mask,,,0,,
inference_candidate_seen_unseen_score_gap,LSTM,,,0,,
inference_candidate_seen_unseen_score_gap,EOPKG-WI,0.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_seen_unseen_score_gap,EOPKG,0.000,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_target_score,GATv2,,,0,,
inference_candidate_target_score,GATv2+Mask,,,0,,
inference_candidate_target_score,LSTM,,,0,,
inference_candidate_target_score,EOPKG-WI,8.517,0.086,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_target_score,EOPKG,6.658,0.222,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_temperature,GATv2,,,0,,
inference_candidate_temperature,GATv2+Mask,,,0,,
inference_candidate_temperature,LSTM,,,0,,
inference_candidate_temperature,EOPKG-WI,0.100,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_temperature,EOPKG,0.100,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_unseen_candidate_rate,GATv2,,,0,,
inference_candidate_unseen_candidate_rate,GATv2+Mask,,,0,,
inference_candidate_unseen_candidate_rate,LSTM,,,0,,
inference_candidate_unseen_candidate_rate,EOPKG-WI,0.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_unseen_candidate_rate,EOPKG,0.000,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_unseen_score_mean,GATv2,,,0,,
inference_candidate_unseen_score_mean,GATv2+Mask,,,0,,
inference_candidate_unseen_score_mean,LSTM,,,0,,
inference_candidate_unseen_score_mean,EOPKG-WI,0.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_unseen_score_mean,EOPKG,0.000,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_valid_invalid_logit_margin,GATv2,,,0,,
inference_candidate_valid_invalid_logit_margin,GATv2+Mask,,,0,,
inference_candidate_valid_invalid_logit_margin,LSTM,,,0,,
inference_candidate_valid_invalid_logit_margin,EOPKG-WI,5.806,0.158,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_valid_invalid_logit_margin,EOPKG,12.672,0.765,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_candidate_valid_probability_mass,GATv2,,,0,,
inference_candidate_valid_probability_mass,GATv2+Mask,,,0,,
inference_candidate_valid_probability_mass,LSTM,,,0,,
inference_candidate_valid_probability_mass,EOPKG-WI,0.968,0.003,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_candidate_valid_probability_mass,EOPKG,1.000,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_duplicate_candidate_count_max,GATv2,,,0,,
inference_duplicate_candidate_count_max,GATv2+Mask,,,0,,
inference_duplicate_candidate_count_max,LSTM,,,0,,
inference_duplicate_candidate_count_max,EOPKG-WI,1.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_duplicate_candidate_count_max,EOPKG,1.000,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_impulse_activation_max_abs,GATv2,,,0,,
inference_impulse_activation_max_abs,GATv2+Mask,,,0,,
inference_impulse_activation_max_abs,LSTM,,,0,,
inference_impulse_activation_max_abs,EOPKG-WI,0.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_impulse_activation_max_abs,EOPKG,5.614,0.763,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_impulse_activation_mean_abs,GATv2,,,0,,
inference_impulse_activation_mean_abs,GATv2+Mask,,,0,,
inference_impulse_activation_mean_abs,LSTM,,,0,,
inference_impulse_activation_mean_abs,EOPKG-WI,0.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_impulse_activation_mean_abs,EOPKG,1.095,0.023,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_impulse_gnn_oversmoothing_ratio,GATv2,,,0,,
inference_impulse_gnn_oversmoothing_ratio,GATv2+Mask,,,0,,
inference_impulse_gnn_oversmoothing_ratio,LSTM,,,0,,
inference_impulse_gnn_oversmoothing_ratio,EOPKG-WI,0.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_impulse_gnn_oversmoothing_ratio,EOPKG,0.855,0.027,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
inference_impulse_to_base_node_ratio,GATv2,,,0,,
inference_impulse_to_base_node_ratio,GATv2+Mask,,,0,,
inference_impulse_to_base_node_ratio,LSTM,,,0,,
inference_impulse_to_base_node_ratio,EOPKG-WI,0.000,0.000,7,fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
inference_impulse_to_base_node_ratio,EOPKG,1.622,0.036,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
legacy_test_accuracy,GATv2,0.891,0.017,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
legacy_test_accuracy,GATv2+Mask,0.888,0.020,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
legacy_test_accuracy,LSTM,0.897,0.017,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
legacy_test_accuracy,EOPKG-WI,0.914,0.008,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
legacy_test_accuracy,EOPKG,0.926,0.001,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
legacy_test_macro_f1,GATv2,0.729,0.014,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
legacy_test_macro_f1,GATv2+Mask,0.749,0.015,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
legacy_test_macro_f1,LSTM,0.750,0.011,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
legacy_test_macro_f1,EOPKG-WI,0.736,0.018,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
legacy_test_macro_f1,EOPKG,0.775,0.004,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
legacy_test_weighted_f1,GATv2,0.878,0.019,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
legacy_test_weighted_f1,GATv2+Mask,0.882,0.022,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
legacy_test_weighted_f1,LSTM,0.889,0.014,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
legacy_test_weighted_f1,EOPKG-WI,0.895,0.009,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
legacy_test_weighted_f1,EOPKG,0.916,0.002,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
strict_test_accuracy,GATv2,0.891,0.017,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
strict_test_accuracy,GATv2+Mask,0.888,0.020,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
strict_test_accuracy,LSTM,0.897,0.017,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
strict_test_accuracy,EOPKG-WI,0.914,0.008,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
strict_test_accuracy,EOPKG,0.926,0.001,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
